Precisão/Revocação;jplag-4.csv
0%;1
10%;0,8536338
20%;0,5325638
30%;0,4902121
40%;0,4946117
50%;0,4423976
60%;0,4569628
70%;0,4749277
80%;0,4602249
90%;0,3805336
100%;0,2960409
