Precisão/Revocação;jplag-37.csv
0%;1
10%;0,9269716
20%;0,7167125
30%;0,690674
40%;0,6082655
50%;0,5794512
60%;0,5916792
70%;0,4601258
80%;0,4801487
90%;0,4984886
100%;0,4785001
