Precisão/Revocação;jplag-22.csv
0%;1
10%;0,8986725
20%;0,7013468
30%;0,6814373
40%;0,6218429
50%;0,5884249
60%;0,603578
70%;0,5661603
80%;0,5911887
90%;0,6057474
100%;0,4891204
