Precisão/Revocação;deckard-8-3-0,9.csv
0%;1
10%;0,753882
20%;0,557833
30%;0,4629027
40%;0,3709376
50%;0,401541
60%;0,4212036
70%;0,3950053
80%;0,4223447
90%;0,3601211
100%;0,3464916
