Precisão/Revocação;jplag-17.csv
0%;1
10%;0,9131653
20%;0,6687381
30%;0,6450737
40%;0,6182197
50%;0,5675445
60%;0,5830964
70%;0,5472175
80%;0,5728916
90%;0,5880092
100%;0,4761979
