Precisão/Revocação;jplag-6.csv
0%;1
10%;0,9396998
20%;0,5899719
30%;0,5432136
40%;0,5553307
50%;0,4874512
60%;0,4989766
70%;0,507069
80%;0,4646506
90%;0,4051788
100%;0,3349881
