Precisão/Revocação;deckard-12-4-0,9.csv
0%;1
10%;0,7300687
20%;0,5557858
30%;0,4316029
40%;0,3665327
50%;0,3846974
60%;0,4035137
70%;0,3744673
80%;0,4004038
90%;0,4119633
100%;0,4031311
