Precisão/Revocação;jplag-48.csv
0%;1
10%;0,8136646
20%;0,4906126
30%;0,5105758
40%;0,5024027
50%;0,4343828
60%;0,446115
70%;0,4682248
80%;0,4888416
90%;0,5074385
100%;0,4878085
