Precisão/Revocação;deckard-13-12-1,0.csv
0%;1
10%;0,903115
20%;0,4445139
30%;0,4299993
40%;0,4305218
50%;0,464943
60%;0,4750878
70%;0,4701605
80%;0,4887179
90%;0,4696952
100%;0,3597745
