Precisão/Revocação;deckard-8-5-1,0.csv
0%;1
10%;0,9223132
20%;0,6048984
30%;0,5690209
40%;0,5709712
50%;0,5963075
60%;0,5008567
70%;0,5232848
80%;0,5448245
90%;0,514144
100%;0,4148055
