Precisão/Revocação;deckard-13-4-1,0.csv
0%;1
10%;0,90591
20%;0,5419516
30%;0,4215
40%;0,4151245
50%;0,4366418
60%;0,4473833
70%;0,4685801
80%;0,4884402
90%;0,4916183
100%;0,4319061
