Precisão/Revocação;deckard-12-3-1,0.csv
0%;1
10%;0,9168314
20%;0,5972428
30%;0,5138466
40%;0,4629654
50%;0,4641552
60%;0,4786289
70%;0,5037532
80%;0,5278599
90%;0,4982931
100%;0,333045
