Precisão/Revocação;deckard-11-10-0,9.csv
0%;1
10%;0,7300687
20%;0,5558376
30%;0,4351917
40%;0,4029523
50%;0,4273039
60%;0,4424283
70%;0,407523
80%;0,4309974
90%;0,4083272
100%;0,395172
