Precisão/Revocação;deckard-8-2147483647-0,9.csv
0%;1
10%;0,753882
20%;0,557833
30%;0,4486302
40%;0,3972064
50%;0,4171352
60%;0,4327603
70%;0,4113677
80%;0,4356753
90%;0,4300189
100%;0,4122908
