Precisão/Revocação;deckard-10-4-1,0.csv
0%;1
10%;0,90591
20%;0,5419516
30%;0,4215
40%;0,4296172
50%;0,4490642
60%;0,4582529
70%;0,4782419
80%;0,4971359
90%;0,4916183
100%;0,4689741
