Precisão/Revocação;jplag-33.csv
0%;1
10%;0,914808
20%;0,7147225
30%;0,7145528
40%;0,6660253
50%;0,6172108
60%;0,6310638
70%;0,5705867
80%;0,5942194
90%;0,6058507
100%;0,441864
