Precisão/Revocação;deckard-10-4-0,9.csv
0%;1
10%;0,7300687
20%;0,5557858
30%;0,4336733
40%;0,3831994
50%;0,4086324
60%;0,4254505
70%;0,3947115
80%;0,4191966
90%;0,429498
100%;0,4196059
