Precisão/Revocação;deckard-7-9-0,9.csv
0%;1
10%;0,7300687
20%;0,5557858
30%;0,4329709
40%;0,4002043
50%;0,4239581
60%;0,4389009
70%;0,4034975
80%;0,4267161
90%;0,4396115
100%;0,4421302
