Precisão/Revocação;deckard-14-15-0,9.csv
0%;1
10%;0,7300687
20%;0,5412931
30%;0,4227925
40%;0,3923076
50%;0,3862756
60%;0,4050349
70%;0,3727603
80%;0,3986286
90%;0,4137337
100%;0,4399884
