Precisão/Revocação;deckard-2-3-0,9.csv
0%;1
10%;0,753882
20%;0,557833
30%;0,4558453
40%;0,4050501
50%;0,4438448
60%;0,4380398
70%;0,4078348
80%;0,4310411
90%;0,4420276
100%;0,4517767
