Precisão/Revocação;deckard-13-9-1,0.csv
0%;1
10%;0,9233484
20%;0,6231323
30%;0,4538266
40%;0,3880965
50%;0,4248737
60%;0,4371808
70%;0,4596816
80%;0,4805241
90%;0,4993862
100%;0,4526038
