Precisão/Revocação;deckard-11-13-0,9.csv
0%;1
10%;0,7300687
20%;0,5557858
30%;0,4536876
40%;0,4207646
50%;0,3930045
60%;0,4114542
70%;0,3782275
80%;0,4000969
90%;0,4114651
100%;0,3761472
