Precisão/Revocação;deckard-10-9-0,9.csv
0%;1
10%;0,7300687
20%;0,5557858
30%;0,4329709
40%;0,3629372
50%;0,3913494
60%;0,4099154
70%;0,3774106
80%;0,4030007
90%;0,4178724
100%;0,4438814
