Precisão/Revocação;deckard-13-2-0,9.csv
0%;1
10%;0,753882
20%;0,557833
30%;0,4383285
40%;0,3912838
50%;0,4301928
60%;0,4477629
70%;0,420389
80%;0,4464553
90%;0,454886
100%;0,3848563
