Precisão/Revocação;jplag-44.csv
0%;1
10%;0,8550254
20%;0,5308994
30%;0,5508035
40%;0,5022355
50%;0,4329738
60%;0,4446158
70%;0,4666506
80%;0,4871542
90%;0,5057093
100%;0,4860183
