Precisão/Revocação;deckard-12-13-1,0.csv
0%;1
10%;0,9236719
20%;0,5855386
30%;0,4192564
40%;0,4205379
50%;0,4510411
60%;0,4601782
70%;0,4725433
80%;0,4913726
90%;0,4723495
100%;0,3761981
