Variante;W;p;Mediana da diferença;IQR da diferença;Mediana da %;IQR da %;Melhorou;Piorou;Empatou
implicit;42.00;0.03292;17.50;0.000 a 98.25;226.4;0.000 a 570.7;4;15;3
residual-implicit;27.00;0.003589;20.00;5.500 a 115.8;193.8;9.722 a 595.1;3;17;2
delegated;0.000;0.1797;0.000;0.000 a 0.000;0.000;0.000 a 0.000;2;0;19
implicit+delegated;24.00;0.007392;21.00;0.000 a 112.0;246.5;0.000 a 575.3;3;15;3
delegated+implicit;26.50;0.005836;21.00;1.000 a 113.0;230.5;9.375 a 574.4;3;16;2
residual-implicit+delegated;13.00;0.001590;20.00;6.500 a 97.25;283.5;36.11 a 622.6;2;16;2
delegated+residual-implicit;14.00;0.001113;20.00;5.000 a 115.0;235.7;54.86 a 632.6;2;17;2
