variant;w;p;median_difference;q1_difference;q3_difference;median_percentage;q1_percentage;q3_percentage;increased;decreased;unchanged
implicit;46.00;0.02759;-42.50;-228.0;-11.00;-6.514;-17.57;-2.560;3;17;2
residual-implicit;0.000;8.845e-05;-94.50;-582.8;-35.00;-11.04;-20.50;-5.428;0;20;2
delegated;0.000;8.857e-05;-120.0;-251.3;-33.25;-10.73;-16.55;-6.320;0;20;2
implicit+delegated;0.000;4.010e-05;-170.0;-714.8;-34.25;-17.47;-23.94;-14.01;0;22;0
delegated+implicit;3.000;6.085e-05;-165.5;-597.0;-34.25;-17.38;-23.81;-10.13;1;21;0
residual-implicit+delegated;0.000;4.010e-05;-186.5;-913.0;-57.25;-20.86;-25.64;-16.40;0;22;0
delegated+residual-implicit;0.000;4.010e-05;-188.5;-728.0;-55.00;-19.86;-25.04;-14.90;0;22;0
