Precisão/Revocação;jplag-7.csv
0%;1
10%;0,9186
20%;0,5733397
30%;0,4973953
40%;0,5041375
50%;0,4526091
60%;0,4477853
70%;0,4666462
80%;0,4635974
90%;0,4074144
100%;0,3391792
