Precisão/Revocação;jplag-19.csv
0%;1
10%;0,8986725
20%;0,7013468
30%;0,6596982
40%;0,5938235
50%;0,5722633
60%;0,587636
70%;0,5514359
80%;0,5769289
90%;0,5918749
100%;0,4792429
