Precisão/Revocação;deckard-8-10-0,9.csv
0%;1
10%;0,753882
20%;0,5578847
30%;0,4436265
40%;0,3905865
50%;0,4273015
60%;0,4425417
70%;0,4133461
80%;0,4369029
90%;0,4296855
100%;0,4020921
