Precisão/Revocação;jplag-10.csv
0%;1
10%;0,9077305
20%;0,520541
30%;0,5157671
40%;0,476313
50%;0,3866918
60%;0,400401
70%;0,4141715
80%;0,4413591
90%;0,4546069
100%;0,3724193
