Precisão/Revocação;deckard-13-15-0,9.csv
0%;1
10%;0,7300687
20%;0,5557858
30%;0,4336621
40%;0,4010032
50%;0,3862756
60%;0,4050349
70%;0,3727603
80%;0,3986286
90%;0,4137337
100%;0,4399884
