Precisão/Revocação;jplag-36.csv
0%;1
10%;0,9313712
20%;0,7240961
30%;0,7200887
40%;0,6516562
50%;0,6280745
60%;0,6407977
70%;0,5827833
80%;0,6054191
90%;0,6021439
100%;0,4670312
