Precisão/Revocação;jplag-40.csv
0%;1
10%;0,8648598
20%;0,5678293
30%;0,584758
40%;0,5725254
50%;0,4314606
60%;0,4430023
70%;0,4649531
80%;0,485328
90%;0,5038347
100%;0,4840717
