Precisão/Revocação;jplag-35.csv
0%;1
10%;0,9313241
20%;0,7240102
30%;0,7199438
40%;0,6514889
50%;0,6278732
60%;0,6405835
70%;0,5825584
80%;0,605178
90%;0,6018969
100%;0,4667755
