Precisão/Revocação;deckard-14-2147483647-0,9.csv
0%;1
10%;0,753882
20%;0,5571973
30%;0,4623268
40%;0,4136565
50%;0,4359739
60%;0,4524043
70%;0,4349654
80%;0,4605892
90%;0,4511109
100%;0,4299278
