Precisão/Revocação;deckard-12-1-0,9.csv
0%;1
10%;0,753882
20%;0,5583361
30%;0,465424
40%;0,3762132
50%;0,4044124
60%;0,4234918
70%;0,4077635
80%;0,4345876
90%;0,4394474
100%;0,4221102
