Precisão/Revocação;deckard-5-11-1,0.csv
0%;1
10%;0,9411067
20%;0,672755
30%;0,666359
40%;0,6336447
50%;0,6586828
60%;0,6625521
70%;0,6805022
80%;0,6921046
90%;0,6434757
100%;0,336923
