Precisão/Revocação;jplag-18.csv
0%;1
10%;0,895774
20%;0,6759844
30%;0,6500426
40%;0,5841617
50%;0,5675445
60%;0,5830964
70%;0,5472175
80%;0,5728916
90%;0,5880092
100%;0,4761979
