Precisão/Revocação;deckard-7-11-0,9.csv
0%;1
10%;0,7300687
20%;0,5567201
30%;0,5425751
40%;0,5147332
50%;0,5489202
60%;0,564128
70%;0,5387803
80%;0,5622111
90%;0,5545333
100%;0,425918
