Precisão/Revocação;deckard-10-11-0,9.csv
0%;1
10%;0,7300687
20%;0,5557753
30%;0,4616689
40%;0,4328914
50%;0,4632381
60%;0,479639
70%;0,4511939
80%;0,4768594
90%;0,378369
100%;0,3472228
