Precisão/Revocação;jplag-42.csv
0%;1
10%;0,8649068
20%;0,5679152
30%;0,5849029
40%;0,5726926
50%;0,4316619
60%;0,4432165
70%;0,465178
80%;0,485569
90%;0,5040818
100%;0,4843274
