Precisão/Revocação;deckard-13-5-0,9.csv
0%;1
10%;0,7300687
20%;0,5557858
30%;0,4444471
40%;0,400819
50%;0,3976949
60%;0,4157914
70%;0,3885344
80%;0,4137758
90%;0,4202178
100%;0,4087721
