Precisão/Revocação;deckard-10-12-0,9.csv
0%;1
10%;0,7300687
20%;0,5558376
30%;0,4429396
40%;0,4099011
50%;0,4343309
60%;0,449902
70%;0,4011933
80%;0,4212697
90%;0,43206
100%;0,3728337
