Precisão/Revocação;jplag-13.csv
0%;1
10%;0,9131653
20%;0,5898043
30%;0,5806327
40%;0,5395779
50%;0,4845461
60%;0,5028534
70%;0,4981832
80%;0,5259921
90%;0,5347094
100%;0,4341425
