Precisão/Revocação;deckard-12-8-1,0.csv
0%;1
10%;0,9025974
20%;0,5211109
30%;0,500584
40%;0,5012143
50%;0,5303027
60%;0,5395676
70%;0,55596
80%;0,5749507
90%;0,5163881
100%;0,454039
