Precisão/Revocação;jplag-3.csv
0%;1
10%;0,8668896
20%;0,5173412
30%;0,4857061
40%;0,4883298
50%;0,427505
60%;0,4402034
70%;0,4558657
80%;0,4479209
90%;0,3754161
100%;0,2987275
