Precisão/Revocação;jplag-16.csv
0%;1
10%;0,9131653
20%;0,6283654
30%;0,6191938
40%;0,5944831
50%;0,5473499
60%;0,5628775
70%;0,5389127
80%;0,5646392
90%;0,5797054
100%;0,4706379
