Precisão/Revocação;deckard-8-13-1,0.csv
0%;1
10%;0,9067335
20%;0,5743755
30%;0,5226464
40%;0,5251693
50%;0,5110662
60%;0,5110248
70%;0,5089554
80%;0,524972
90%;0,4288316
100%;0,3266934
