Precisão/Revocação;deckard-11-6-1,0.csv
0%;1
10%;0,9440523
20%;0,4477135
30%;0,4137326
40%;0,3842777
50%;0,4213804
60%;0,4339717
70%;0,4567352
80%;0,4778295
90%;0,4969013
100%;0,4531011
