Precisão/Revocação;jplag-1.csv
0%;1
10%;0,7114961
20%;0,3867013
30%;0,4361268
40%;0,4518153
50%;0,4059045
60%;0,3984832
70%;0,4140923
80%;0,4236524
90%;0,35241
100%;0,2509083
