Precisão/Revocação;deckard-9-6-1,0.csv
0%;1
10%;0,9440523
20%;0,6085216
30%;0,5690209
40%;0,5378449
50%;0,5675808
60%;0,4754944
70%;0,5005795
80%;0,5242711
90%;0,5129583
100%;0,3400773
