Precisão/Revocação;deckard-11-8-0,9.csv
0%;1
10%;0,7300687
20%;0,5412931
30%;0,403342
40%;0,3769882
50%;0,404828
60%;0,4224445
70%;0,4036238
80%;0,428551
90%;0,4244739
100%;0,4497645
