Precisão/Revocação;deckard-8-8-0,9.csv
0%;1
10%;0,753882
20%;0,5433402
30%;0,4114051
40%;0,3647766
50%;0,405037
60%;0,4227329
70%;0,405343
80%;0,4302755
90%;0,4312538
100%;0,4568287
