Precisão/Revocação;jplag-9.csv
0%;1
10%;0,9077305
20%;0,4879323
30%;0,4875062
40%;0,4741391
50%;0,3866115
60%;0,4003207
70%;0,4140716
80%;0,4412592
90%;0,4541356
100%;0,3719255
