Precisão/Revocação;deckard-14-11-1,0.csv
0%;1
10%;0,9150668
20%;0,6913063
30%;0,6689572
40%;0,639523
50%;0,6735132
60%;0,6823481
70%;0,6333152
80%;0,6510717
90%;0,6451243
100%;0,4012186
