Precisão/Revocação;deckard-12-2-0,9.csv
0%;1
10%;0,753882
20%;0,5360939
30%;0,4383285
40%;0,376791
50%;0,4177704
60%;0,4368933
70%;0,4107272
80%;0,4377597
90%;0,4469808
100%;0,3848563
