Precisão/Revocação;jplag-8.csv
0%;1
10%;0,9004841
20%;0,4750053
30%;0,4723713
40%;0,4849193
50%;0,4374196
60%;0,450343
70%;0,4651799
80%;0,4728906
90%;0,4258061
100%;0,3495986
