Precisão/Revocação;deckard-13-7-1,0.csv
0%;1
10%;0,9268775
20%;0,62555
30%;0,5291054
40%;0,5235663
50%;0,4700177
60%;0,4793558
70%;0,4924702
80%;0,516973
90%;0,4363596
100%;0,3258235
