Precisão/Revocação;deckard-9-2-1,0.csv
0%;1
10%;0,9295596
20%;0,6444377
30%;0,6107395
40%;0,6284331
50%;0,5368284
60%;0,5386009
70%;0,5619576
80%;0,5828051
90%;0,4837483
100%;0,3589576
