Precisão/Revocação;deckard-14-14-1,0.csv
0%;1
10%;0,9121683
20%;0,5696933
30%;0,4519686
40%;0,4245699
50%;0,4425367
60%;0,4525147
70%;0,4730118
80%;0,492405
90%;0,5099312
100%;0,4507091
