Precisão/Revocação;deckard-3-2-0,9.csv
0%;1
10%;0,753882
20%;0,5524854
30%;0,4915745
40%;0,4498334
50%;0,4941073
60%;0,5108492
70%;0,4833204
80%;0,5095034
90%;0,5236976
100%;0,4244532
