Precisão/Revocação;jplag-15.csv
0%;1
10%;0,9131653
20%;0,6270714
30%;0,6178998
40%;0,5923928
50%;0,5406447
60%;0,556109
70%;0,532874
80%;0,5586404
90%;0,5735861
100%;0,4644678
